weight,age,height,size
61,35.0,165.1,L
62,25.0,162.56,L
58,32.0,152.4,L
68,33.0,160.02,L
58,43.0,172.72,L
65,33.0,167.64,L
61,50.0,175.26,L
63,27.0,167.64,L
63,23.0,172.72,L
62,35.0,167.64,L
58,35.0,160.02,L
70,33.0,170.18,L
63,26.0,165.1,L
56,39.0,167.64,L
66,37.0,167.64,L
61,31.0,162.56,L
61,44.0,170.18,L
63,27.0,170.18,L
61,27.0,167.64,L
58,35.0,162.56,L
58,37.0,162.56,L
67,34.0,177.8,L
63,20.0,180.34,L
58,35.0,162.56,L
61,28.0,157.48,L
61,35.0,165.1,L
60,69.0,167.64,L
70,37.0,175.26,L
58,55.0,160.02,L
65,31.0,175.26,L
65,35.0,165.1,L
65,30.0,175.26,L
67,29.0,175.26,L
61,35.0,170.18,L
63,41.0,172.72,L
63,20.0,167.64,L
56,27.0,157.48,L
64,40.0,165.1,L
63,31.0,167.64,L
67,36.0,172.72,L
62,51.0,165.1,L
63,34.0,170.18,L
58,46.0,165.1,L
68,31.0,172.72,L
61,22.0,162.56,L
47,36.0,160.02,L
70,24.0,160.02,L
58,48.0,172.72,L
68,30.0,162.56,L
70,28.0,182.88,L
68,44.0,175.26,L
72,33.0,167.64,L
58,29.0,167.64,L
59,43.0,162.56,L
61,49.0,165.1,L
65,54.0,165.1,L
60,31.0,160.02,L
61,37.0,175.26,L
58,51.0,170.18,L
65,34.0,167.64,L
65,54.0,165.1,L
58,29.0,162.56,L
61,24.0,180.34,L
61,29.0,162.56,L
58,31.0,157.48,L
58,25.0,165.1,L
58,41.0,170.18,L
62,32.0,157.48,L
61,29.0,165.1,L
61,29.0,157.48,L
61,47.0,172.72,L
63,19.0,175.26,L
58,57.0,162.56,L
68,33.0,172.72,L
61,40.0,160.02,L
72,31.0,185.42,L
53,21.0,157.48,L
53,44.0,165.1,L
61,50.0,165.1,L
70,30.0,180.34,L
60,37.0,167.64,L
58,33.0,167.64,L
65,37.0,180.34,L
54,30.0,162.56,L
63,23.0,167.64,L
61,30.0,162.56,L
64,40.0,165.1,L
65,26.0,162.56,L
61,37.0,170.18,L
71,37.0,170.18,L
58,60.0,165.1,L
61,32.0,165.1,L
65,22.0,162.56,L
58,47.0,167.64,L
63,26.0,167.64,L
60,33.0,165.1,L
61,33.0,165.1,L
70,34.0,160.02,L
65,28.0,167.64,L
63,32.0,170.18,L
63,35.0,167.64,L
65,42.0,167.64,L
61,40.0,175.26,L
63,38.0,167.64,L
72,46.0,162.56,L
63,37.0,167.64,L
45,35.0,157.48,L
61,38.0,172.72,L
63,28.0,157.48,L
63,28.0,162.56,L
65,31.0,172.72,L
64,28.0,167.64,L
22,29.0,167.64,L
65,29.0,177.8,L
58,29.0,170.18,L
58,60.0,172.72,L
62,29.0,167.64,L
63,30.0,165.1,L
58,32.0,165.1,L
63,24.0,167.64,L
58,30.0,160.02,L
61,28.0,157.48,L
65,32.0,160.02,L
63,55.0,167.64,L
58,29.0,165.1,L
68,32.0,165.1,L
63,28.0,160.02,L
70,31.0,177.8,L
68,29.0,177.8,L
60,43.0,175.26,L
58,44.0,157.48,L
58,31.0,162.56,L
61,36.0,152.4,L
61,27.0,175.26,L
63,35.0,170.18,L
70,42.0,167.64,L
68,33.0,162.56,L
65,59.0,175.26,L
65,25.0,162.56,L
61,26.0,165.1,L
61,32.0,162.56,L
65,33.0,167.64,L
64,28.0,167.64,L
58,49.0,165.1,L
61,45.0,165.1,L
58,52.0,165.1,L
68,30.0,165.1,L
63,33.0,165.1,L
65,47.0,170.18,L
63,37.0,154.94,L
65,41.0,175.26,L
58,36.0,170.18,L
58,35.0,152.4,L
56,50.0,165.1,L
68,30.0,167.64,L
65,35.0,165.1,L
58,35.0,167.64,L
63,34.0,170.18,L
61,34.0,165.1,L
63,32.0,175.26,L
61,32.0,170.18,L
53,37.0,157.48,L
64,30.0,175.26,L
63,29.0,175.26,L
56,38.0,167.64,L
56,35.0,160.02,L
63,40.0,170.18,L
63,35.0,170.18,L
55,53.0,170.18,L
63,38.0,167.64,L
65,26.0,177.8,L
65,32.0,162.56,L
64,36.0,160.02,L
57,60.0,157.48,L
63,31.0,175.26,L
63,62.0,165.1,L
61,34.0,165.1,L
54,49.0,160.02,L
64,25.0,160.02,L
58,31.0,154.94,L
58,30.0,170.18,L
65,29.0,172.72,L
59,39.0,170.18,L
58,47.0,167.64,L
65,29.0,170.18,L
58,37.0,160.02,L
58,60.0,162.56,L
56,44.0,165.1,L
58,26.0,170.18,L
61,41.0,170.18,L
65,28.0,172.72,L
57,35.0,170.18,L
58,33.0,167.64,L
61,27.0,182.88,L
68,23.0,182.88,L
57,35.0,165.1,L
58,30.0,162.56,L
62,24.0,157.48,L
68,30.0,175.26,L
61,32.0,172.72,L
61,35.0,157.48,L
53,48.0,154.94,L
47,33.0,157.48,L
63,37.0,167.64,L
63,49.0,162.56,L
58,52.0,157.48,L
63,30.0,167.64,L
63,31.0,172.72,L
68,18.0,165.1,L
68,42.0,170.18,L
68,19.0,157.48,L
63,48.0,180.34,L
65,33.0,157.48,L
66,29.0,172.72,L
62,42.0,177.8,L
52,42.0,157.48,L
61,25.0,165.1,L
61,55.0,157.48,L
63,35.0,162.56,L
60,32.0,167.64,L
56,46.0,160.02,L
72,30.0,170.18,L
63,31.0,170.18,L
65,34.0,162.56,L
61,35.0,162.56,L
65,32.0,167.64,L
56,65.0,167.64,L
58,43.0,157.48,L
63,31.0,172.72,L
61,33.0,175.26,L
50,32.0,160.02,L
55,56.0,162.56,L
68,30.0,175.26,L
68,29.0,170.18,L
61,44.0,162.56,L
58,34.0,160.02,L
63,30.0,167.64,L
64,29.0,170.18,L
63,30.0,165.1,L
68,27.0,175.26,L
