height,weight,age,gender,size
164,58,25,female,M
173,78,33,male,XXL
171,65,22,male,L
172,63,44,male,L
150,45,22,male,S
152,43,22,female,S
151,44,31,male,XS
178,77,27,female,XL
167,64,34,female,L
168,62,40,male,L
148,42,49,male,XS
182,80,39,female,XXL
171,77,30,female,XL
158,47,23,female,S
153,49,45,male,S
156,43,18,male,S
168,58,37,male,M
173,60,24,female,L
165,58,47,male,M
158,52,27,female,M
172,68,39,female,L
157,51,37,male,S
158,59,37,female,M
164,51,20,male,M
162,50,41,male,M
170,69,19,female,XL
155,49,22,female,S
165,58,36,female,L
166,62,29,female,L
150,44,21,male,XS
172,68,34,male,L
155,50,22,female,S
146,43,39,male,XS
172,86,45,male,XXL
177,80,37,female,XXL
173,70,43,male,XL
160,53,49,male,M
148,38,18,female,XS
171,59,25,male,L
168,58,42,female,M
156,45,24,female,S
167,58,37,female,M
145,39,18,female,XS
183,82,22,female,XXL
168,56,26,male,M
167,60,33,female,L
160,53,41,female,M
172,58,41,female,L
165,65,21,female,L
157,46,47,male,S
180,80,42,male,XXL
171,69,19,female,XL
174,86,21,male,XXL
173,68,31,male,XL
168,65,49,female,L
178,80,34,female,XXL
145,41,44,male,XS
155,49,39,female,S
150,43,30,male,XS
163,57,44,male,M
159,54,47,male,M
169,50,22,female,M
172,71,20,female,XL
158,50,29,female,M
162,55,20,female,M
173,62,41,male,L
150,47,48,male,S
170,71,48,male,XL
149,44,18,female,XS
177,105,42,female,XXXL
175,77,20,female,XL
157,44,49,male,S
150,44,19,male,XS
179,69,43,male,XL
172,58,26,male,L
170,64,46,female,L
176,77,20,female,XL
153,42,45,female,XS
164,58,21,male,M
153,43,25,female,S
